,Distance,Radius,X,Y,Z
270,26.976,3.21,234.46200000000002,207.46200000000002,212.921
271,27.002,3.1860000000000004,234.577,207.419,212.935
272,27.035,3.1719999999999997,234.699,207.368,212.94299999999998
273,27.08,3.1630000000000003,234.824,207.313,212.946
274,27.136999999999997,3.158,234.951,207.257,212.94799999999998
275,27.211,3.155,235.075,207.203,212.95
276,27.303,3.1519999999999997,235.196,207.155,212.953
277,27.416999999999998,3.1489999999999996,235.30900000000003,207.11700000000002,212.96
278,27.553,3.1460000000000004,235.41400000000002,207.088,212.97099999999998
279,27.704,3.142,235.512,207.06799999999998,212.986
280,27.866,3.138,235.60299999999998,207.055,213.003
281,28.031999999999996,3.136,235.69,207.047,213.02
282,28.197,3.136,235.77200000000002,207.042,213.03799999999998
283,28.355,3.141,235.851,207.03900000000002,213.055
284,28.499000000000002,3.147,235.928,207.035,213.06900000000002
285,28.625999999999998,3.153,236.003,207.02900000000002,213.081
286,28.728,3.156,236.079,207.02,213.08700000000002
287,28.8,3.154,236.15599999999998,207.00400000000002,213.08900000000003
288,28.843000000000004,3.147,236.233,206.983,213.085
289,28.863000000000003,3.14,236.31099999999998,206.957,213.076
290,28.87,3.138,236.387,206.928,213.06400000000002
291,28.885,3.1439999999999997,236.46200000000002,206.896,213.05
292,28.905,3.157,236.533,206.863,213.03400000000002
293,28.927,3.1719999999999997,236.601,206.829,213.017
294,28.945,3.1839999999999997,236.66400000000002,206.797,213.002
295,28.958000000000002,3.1860000000000004,236.72099999999998,206.766,212.987
296,28.979,3.178,236.771,206.739,212.976
297,29.02,3.165,236.81400000000002,206.71599999999998,212.968
298,29.083000000000002,3.1489999999999996,236.84900000000002,206.69799999999998,212.963
299,29.17,3.137,236.877,206.68400000000003,212.96200000000002
300,29.28,3.13,236.898,206.673,212.963
301,29.410999999999998,3.127,236.91400000000002,206.665,212.965
302,29.565,3.127,236.924,206.66,212.96900000000002
303,29.741,3.128,236.93,206.657,212.97400000000002
304,29.938000000000002,3.1310000000000002,236.93200000000002,206.65599999999998,212.97799999999998
305,30.156,3.135,236.93099999999998,206.655,212.982
306,30.395,3.138,236.92700000000002,206.655,212.985
307,30.655,3.142,236.921,206.65599999999998,212.987
308,30.933000000000003,3.1460000000000004,236.91400000000002,206.65599999999998,212.987
309,31.225,3.15,236.90900000000002,206.655,212.986
310,31.528000000000002,3.1519999999999997,236.907,206.65200000000002,212.985
311,31.836,3.153,236.91099999999997,206.64700000000002,212.985
312,32.148,3.1510000000000002,236.921,206.639,212.986
313,32.458,3.148,236.942,206.627,212.989
314,32.763000000000005,3.142,236.97299999999998,206.611,212.995
315,33.062,3.134,237.018,206.59099999999998,213.00400000000002
316,33.351,3.123,237.077,206.565,213.016
317,33.63,3.11,237.153,206.533,213.033
318,33.9,3.097,237.243,206.497,213.053
319,34.159,3.085,237.34400000000002,206.457,213.076
320,34.408,3.076,237.451,206.41400000000002,213.101
321,34.644,3.069,237.562,206.37099999999998,213.128
322,34.866,3.0639999999999996,237.672,206.328,213.15400000000002
323,35.069,3.063,237.778,206.287,213.18
324,35.251999999999995,3.065,237.877,206.248,213.205
325,35.412,3.069,237.965,206.21400000000003,213.22799999999998
326,35.544000000000004,3.074,238.03799999999998,206.18599999999998,213.247
327,35.649,3.0810000000000004,238.09400000000002,206.16400000000002,213.263
328,35.729,3.088,238.13400000000001,206.148,213.275
329,35.79,3.093,238.158,206.138,213.283
330,35.835,3.0980000000000003,238.169,206.13400000000001,213.287
331,35.871,3.0989999999999998,238.168,206.13400000000001,213.28900000000002
332,35.900999999999996,3.0989999999999998,238.157,206.138,213.287
333,35.929,3.095,238.137,206.146,213.28099999999998
334,35.958,3.089,238.11,206.158,213.273
335,35.988,3.0810000000000004,238.077,206.171,213.261
336,36.022,3.073,238.03900000000002,206.188,213.247
337,36.062,3.065,238.0,206.205,213.23
338,36.107,3.056,237.96200000000002,206.22299999999998,213.21200000000002
339,36.154,3.0469999999999997,237.928,206.238,213.196
340,36.203,3.0380000000000003,237.90099999999998,206.25099999999998,213.18200000000002
341,36.262,3.031,237.885,206.25900000000001,213.173
342,36.34,3.0269999999999997,237.88299999999998,206.26,213.171
343,36.449,3.031,237.899,206.25400000000002,213.17700000000002
344,36.598,3.045,237.935,206.238,213.19299999999998
345,36.796,3.0660000000000003,237.995,206.21099999999998,213.22
346,37.052,3.083,238.082,206.171,213.262
347,37.366,3.085,238.196,206.11900000000003,213.31599999999997
348,37.726,3.06,238.332,206.05599999999998,213.37900000000002
349,38.119,3.0069999999999997,238.485,205.985,213.445
350,38.531,2.9389999999999996,238.64700000000002,205.908,213.50900000000001
351,38.946999999999996,2.872,238.813,205.828,213.565
352,39.353,2.823,238.977,205.748,213.609
353,39.735,2.798,239.132,205.67,213.63400000000001
354,40.079,2.785,239.274,205.59599999999998,213.636
355,40.371,2.766,239.395,205.53,213.61
356,40.596,2.727,239.49,205.47299999999998,213.55
357,40.75,2.657,239.55700000000002,205.426,213.455
358,40.844,2.569,239.602,205.389,213.332
359,40.885999999999996,2.48,239.628,205.36,213.18599999999998
360,40.897,2.405,239.64,205.33900000000003,213.024
361,40.931999999999995,2.358,239.645,205.324,212.852
362,40.986999999999995,2.333,239.645,205.31400000000002,212.676
363,41.053999999999995,2.32,239.64700000000002,205.308,212.502
364,41.123999999999995,2.311,239.65599999999998,205.305,212.33599999999998
365,41.188,2.2969999999999997,239.675,205.304,212.185
366,41.239,2.275,239.71099999999998,205.304,212.053
367,41.28,2.244,239.764,205.304,211.94299999999998
368,41.318000000000005,2.2030000000000003,239.833,205.305,211.84799999999998
369,41.356,2.1519999999999997,239.917,205.30700000000002,211.764
370,41.393,2.092,240.014,205.31,211.68599999999998
371,41.428000000000004,2.029,240.12400000000002,205.31400000000002,211.609
372,41.456,1.966,240.243,205.32,211.52700000000002
373,41.479,1.9080000000000001,240.372,205.327,211.437
374,41.503,1.8530000000000002,240.50900000000001,205.33599999999998,211.332
375,41.542,1.7990000000000002,240.65099999999998,205.34799999999998,211.207
376,41.605,1.745,240.798,205.362,211.05900000000003
377,41.688,1.6880000000000002,240.94799999999998,205.378,210.888
378,41.778,1.632,241.09900000000002,205.396,210.699
379,41.86,1.5859999999999999,241.248,205.41400000000002,210.497
380,41.923,1.558,241.393,205.43400000000003,210.287
381,41.951,1.556,241.533,205.453,210.075
382,41.971000000000004,1.579,241.66400000000002,205.472,209.864
383,42.051,1.614,241.78599999999997,205.489,209.66099999999997
384,42.207,1.653,241.895,205.505,209.47
385,42.451,1.683,241.989,205.519,209.296
386,42.79600000000001,1.702,242.067,205.53,209.144
387,43.231,1.713,242.13,205.53900000000002,209.015
388,43.74,1.7209999999999999,242.178,205.546,208.90599999999998
389,44.302,1.732,242.213,205.551,208.81599999999997
390,44.9,1.7469999999999999,242.238,205.555,208.74200000000002
391,45.515,1.765,242.253,205.55900000000003,208.685
392,46.129,1.7830000000000001,242.261,205.563,208.64
393,46.724,1.8,242.263,205.567,208.608
394,47.283,1.814,242.261,205.572,208.58599999999998
